Company Name,Category / Segment,Specialty,Website,Propensity Score (0-100),Priority Tier,Urgency Label,Primary Recruiter Talking Point,LinkedIn Headcount,Headcount Score (Max 30),Plant Expansions (6M),Expansions Score (Max 25),Exec Turnover (6M),Exec Score (Max 20),FDA Recalls (3Y),Class 1 Recalls,Regulatory Score (Max 15),Domain Fit Score (Max 10)
Solabia Nutrition,Ingredient Supplier,ingredient supplier,,17.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Solabia Nutrition is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,0,10.0,0,0.0,0,0.0,0,0,0.0,7.0
Wuxi AccoBio Biotech Inc,"Supplement Brand, Ingredient Supplier","Branded,Botanical extracts",http://www.accobio.com,17.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Wuxi AccoBio Biotech Inc is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,0,10.0,0,0.0,0,0.0,0,0,0.0,7.0
BIOWEG,Ingredient Supplier,"Bio based ingredients,Fermentation",https://bioweg.com/,17.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,BIOWEG is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,0,10.0,0,0.0,0,0.0,0,0,0.0,7.0
Mueggenburg USA,"Supplement Brand, Ingredient Supplier","Botanicalextracts,Herbal extracts",,17.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Mueggenburg USA is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,0,10.0,0,0.0,0,0.0,0,0,0.0,7.0
Ravago Chemicals North America (RCNA),Ingredient Supplier,Specialty ingredients,na.ravagochemicals.com,17.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Ravago Chemicals North America (RCNA) is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,0,10.0,0,0.0,0,0.0,0,0,0.0,7.0
TEKsystems,Nutraceutical,Unknown,,15.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,TEKsystems is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,0,10.0,0,0.0,0,0.0,0,0,0.0,5.0
order comprehensive blood panels.,Testing Cro Consulting,Unknown,,15.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,order comprehensive blood panels. is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,0,10.0,0,0.0,0,0.0,0,0,0.0,5.0
Coherent Inc.,Nutraceutical,Unknown,,15.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Coherent Inc. is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,0,10.0,0,0.0,0,0.0,0,0,0.0,5.0
HCRC Staffing,Nutraceutical,Unknown,,15.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,HCRC Staffing is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,0,10.0,0,0.0,0,0.0,0,0,0.0,5.0
Joyson Safety Systems Hungary,Nutraceutical,Unknown,,15.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Joyson Safety Systems Hungary is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,0,10.0,0,0.0,0,0.0,0,0,0.0,5.0
